,precision,recall,f1-score,support
0,0.6103092783505155,0.347010550996483,0.44245142002989535,853.0
1,0.7050249328730341,0.8198037466547725,0.7580944524644256,2242.0
2,0.4839779005524862,0.6498516320474778,0.5547815072830906,674.0
3,0.24242424242424243,0.2064516129032258,0.2229965156794425,155.0
4,0.36341463414634145,0.3130252100840336,0.3363431151241535,476.0
5,0.225,0.16363636363636364,0.18947368421052632,55.0
6,0.8214285714285714,0.4423076923076923,0.575,52.0
7,0.4883720930232558,0.14685314685314685,0.22580645161290322,143.0
accuracy,,,0.6034408602150537,4650.0
macro avg,0.4924939565998059,0.38611749443539944,0.41311839330055466,4650.0
weighted avg,0.5941824596457495,0.6034408602150537,0.5845713371099315,4650.0
