,precision,recall,f1-score,support
0,0.654,0.38335287221570924,0.48337028824833705,853.0
1,0.7604989604989605,0.8157894736842105,0.7871745211964708,2242.0
2,0.4678111587982833,0.8086053412462908,0.5927134312126155,674.0
3,0.3645833333333333,0.22580645161290322,0.2788844621513944,155.0
4,0.4,0.31932773109243695,0.35514018691588783,476.0
5,0.6,0.10909090909090909,0.18461538461538463,55.0
6,0.6585365853658537,0.5192307692307693,0.5806451612903226,52.0
7,0.4339622641509434,0.16083916083916083,0.23469387755102042,143.0
accuracy,,,0.6331182795698925,4650.0
macro avg,0.5424240377684217,0.41775533862654873,0.4371546641476791,4650.0
weighted avg,0.6353583469565566,0.6331182795698925,0.6156626719724279,4650.0
