,precision,recall,f1-score,support
0,0.6365740740740741,0.3223915592028136,0.4280155642023346,853.0
1,0.756368118323747,0.8211418376449598,0.7874251497005988,2242.0
2,0.553757225433526,0.7106824925816023,0.622482131254061,674.0
3,0.2109704641350211,0.3225806451612903,0.25510204081632654,155.0
4,0.3441682600382409,0.37815126050420167,0.36036036036036034,476.0
5,0.5,0.2727272727272727,0.35294117647058826,55.0
6,0.625,0.5769230769230769,0.6,52.0
7,0.35802469135802467,0.20279720279720279,0.25892857142857145,143.0
accuracy,,,0.6234408602150537,4650.0
macro avg,0.4981078541703292,0.45092441844280257,0.4581568742791051,4650.0
weighted avg,0.6278988002134519,0.6234408602150537,0.6126383476638282,4650.0
