,precision,recall,f1-score,support
0,0.6039426523297491,0.3950762016412661,0.47767540751240256,853.0
1,0.7355371900826446,0.8336306868867083,0.781517875810161,2242.0
2,0.5280898876404494,0.6973293768545994,0.6010230179028133,674.0
3,0.2764227642276423,0.21935483870967742,0.2446043165467626,155.0
4,0.32710280373831774,0.29411764705882354,0.30973451327433627,476.0
5,0.45,0.16363636363636364,0.24,55.0
6,0.5892857142857143,0.6346153846153846,0.6111111111111112,52.0
7,0.5,0.11888111888111888,0.192090395480226,143.0
accuracy,,,0.6255913978494624,4650.0
macro avg,0.5012976265380646,0.41958020228549275,0.4322195797047266,4650.0
weighted avg,0.6119590036666256,0.6255913978494624,0.6069900464420944,4650.0
