,precision,recall,f1-score,support
0,0.3264812575574365,0.6330597889800703,0.430793777423215,853.0
1,0.75,0.727921498661909,0.7387958352195564,2242.0
2,0.45601851851851855,0.2922848664688427,0.3562386980108499,674.0
3,0.09302325581395349,0.05161290322580645,0.06639004149377593,155.0
4,0.2956204379562044,0.17016806722689076,0.216,476.0
5,0.08333333333333333,0.01818181818181818,0.029850746268656716,55.0
6,1.0,0.019230769230769232,0.03773584905660377,52.0
7,0.0,0.0,0.0,143.0
accuracy,,,0.5290322580645161,4650.0
macro avg,0.37555960039743075,0.23905746399701333,0.2344756184340822,4650.0
weighted avg,0.5331316689526073,0.5290322580645161,0.5119704836109281,4650.0
