,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
global_accuracy,0.18344086021505376,0.4821505376344086,0.14688172043010753,0.16946236559139785,0.17763440860215055,0.25763440860215053,0.2845161290322581,0.4572043010752688,0.41053763440860214,0.4421505376344086,0.4455913978494624,0.5301075268817205,0.42494623655913977,0.5460215053763441,0.512258064516129,0.5163440860215054,0.5443010752688172,0.49870967741935485,0.5268817204301075,0.5296774193548387,0.550752688172043,0.5529032258064516,0.5604301075268817,0.5470967741935484,0.5516129032258065,0.5131182795698924,0.5518279569892474,0.5726881720430107,0.5823655913978495,0.5658064516129032,0.5608602150537635,0.563010752688172,0.5746236559139785,0.5673118279569892,0.5647311827956989,0.5802150537634408,0.5713978494623656,0.5797849462365592,0.5823655913978495,0.5866666666666667,0.5864516129032258,0.578494623655914,0.5864516129032258,0.5926881720430107,0.5941935483870968,0.5913978494623656,0.5976344086021506,0.5989247311827957,0.5995698924731183,0.5982795698924731,0.6098924731182795,0.5989247311827957,0.6019354838709677,0.593763440860215,0.607741935483871,0.6034408602150537,0.5961290322580645,0.604516129032258,0.5954838709677419,0.5989247311827957,0.5911827956989247,0.6023655913978495,0.6036559139784946,0.5817204301075268,0.5789247311827957,0.5851612903225807,0.5862365591397849,0.5651612903225807,0.5449462365591398,0.5640860215053763,0.5832258064516129,0.5716129032258065,0.5389247311827957,0.5756989247311828,0.5776344086021505,0.5703225806451613,0.5423655913978495,0.5724731182795699,0.5341935483870968,0.5544086021505377,0.5883870967741935,0.5683870967741935,0.5589247311827957,0.5731182795698925,0.561505376344086,0.5782795698924731,0.5531182795698925,0.5591397849462365,0.5578494623655914,0.552258064516129,0.563010752688172,0.5655913978494623,0.5703225806451613,0.5602150537634408,0.5632258064516129,0.5673118279569892,0.5156989247311828,0.5606451612903226,0.5808602150537634,0.5776344086021505,0.5834408602150538,0.5754838709677419,0.5754838709677419,0.5498924731182796,0.5503225806451613,0.5283870967741936,0.5683870967741935,0.5660215053763441,0.5602150537634408,0.5529032258064516,0.553763440860215,0.5348387096774193,0.5701075268817204,0.5081720430107527,0.5341935483870968,0.5795698924731183,0.5795698924731183,0.5849462365591398,0.5890322580645161,0.5967741935483871,0.5701075268817204,0.5855913978494623,0.5935483870967742,0.5724731182795699,0.5978494623655914,0.6008602150537634,0.5875268817204301,0.5926881720430107,0.6,0.5991397849462365,0.6012903225806452,0.6101075268817204,0.6189247311827957,0.5954838709677419,0.6075268817204301,0.6012903225806452,0.6079569892473118,0.6012903225806452,0.6103225806451613,0.6176344086021506,0.6113978494623656,0.6275268817204301,0.6249462365591398,0.6240860215053764,0.6238709677419355,0.6225806451612903,0.6223655913978494,0.6240860215053764,0.6243010752688172,0.6238709677419355,0.6234408602150537
global_loss,2.0843607285251355,1.5338955464428419,1.7385459591264594,1.8464319640642977,1.9023361679625839,1.7393658316298708,1.7095508363148937,1.4315692365986028,1.5412013718526658,1.4864620370407626,1.4685359139965004,1.301394721824829,1.5142680512715692,1.2471514066604719,1.3649074512801758,1.3217454809848577,1.2712249568063918,1.4584424593677259,1.3200499884886285,1.2938136388994244,1.2650783711100277,1.2535005963011965,1.2447894060448423,1.2639521976856336,1.2509774802482292,1.3616830130962476,1.2545384046149581,1.21293574367484,1.1806929091068163,1.2131709052275306,1.2407618561019635,1.2283436529440424,1.206643333582029,1.2142435912400076,1.2375375212055364,1.2161406205125052,1.1843831016592783,1.1935384596047336,1.2570520806802463,1.200534168579807,1.2037631281434673,1.1937832934399173,1.184478028588099,1.173030969214766,1.1546312725707277,1.164164272889699,1.1424730032274169,1.1815355109841856,1.1881825621813944,1.1732384329789305,1.1392303484759918,1.1917748675770956,1.1742885043359783,1.2024353460906303,1.1425086480297455,1.2273740013168282,1.2048431079681605,1.1834157305221036,1.2348546916491365,1.2350128864588803,1.2492179266394001,1.2327550833355891,1.2862592012914893,1.3267920449988482,1.344177148113512,1.3748060195413354,1.3054826978134781,1.4208277508820573,1.5478719472885132,1.5086430192810216,1.3618726958967236,1.7901149543180859,1.9366298007638487,1.4552848416648498,1.609483931162586,1.5868409508711672,1.8724932576695534,1.6388268197235996,2.1842735630192167,1.8685860927790812,1.693197340997931,1.7052905996368355,1.6822565018314204,1.8438012367242003,1.8487627436853435,1.7216309264098129,2.390186540476263,1.792993424689933,1.829793097221688,2.0148216469647133,1.840132178100821,1.959865830532492,1.815805580926268,2.0557384707339823,2.001296187100345,2.0732684037456774,2.4498639261885864,2.1952311853839928,1.951306065467939,2.0089152414504796,1.8334687593048566,1.8098470258386168,2.0523062834184462,2.2582994544342774,2.08725151174689,2.9933663908749413,2.7692567036576468,2.36514706072742,2.868596999612573,2.5571555013525975,3.2028550162707288,2.8743677139282227,3.001413746239388,3.2612716743390853,2.875235520813563,2.975134441297348,2.8883189126236797,2.7961635761065025,2.4542544263682955,2.467595051412713,2.9246481436572664,3.2101095008523495,3.030461356247941,3.1984072001013035,3.2425877280431252,3.715973329054166,3.73528460688787,3.1563836891357213,2.838388389104033,3.289755984528424,2.908056520435908,3.6007187399145675,2.829562686077536,3.1619439957893056,3.2851266338400644,3.285027797907999,2.949152304701609,3.5515961785839028,2.6860670112583733,3.2682309591606873,3.330241239234193,3.2042501838239903,3.355670442319896,3.34471273340591,3.3609165737073714,3.4026936325308395,3.4450488760046762,3.4730143081651974,3.5087222122166253,3.5393618239115363,3.569029253639587
global_precision,0.033650549196438895,0.23246914094114926,0.1236282547520865,0.3286061403394353,0.4492057979421415,0.40822862529695314,0.45795478536905854,0.4914585751994895,0.5141601975649899,0.5264237420517481,0.5294991101794825,0.5264624320930106,0.5117167926512635,0.5390973113954973,0.5228990867333063,0.555336946141321,0.542837949441826,0.5369780151646252,0.5443914145121834,0.5307503478893284,0.5714835705430347,0.5799889614241805,0.5732384284008111,0.5550386694664461,0.5612943768071804,0.5374877043349033,0.5746967787153899,0.5568374871219195,0.5680382177256137,0.5651436641552552,0.5548966613804256,0.5754632372104613,0.5753907431371638,0.5503157642082748,0.5597404740023906,0.5804431972418567,0.5671647318809061,0.5820974300893844,0.6030782750277461,0.6112972110616862,0.6014710438382982,0.5967700620365991,0.5875369452972595,0.5912332493974845,0.5851532433646106,0.5964623751128548,0.5869929301488152,0.5819159006963593,0.5868354621152923,0.5907783341159812,0.5956016738313672,0.5866360447915082,0.5814820600526135,0.5821134970413162,0.5912384645118488,0.5789663256136824,0.5779059829939913,0.5979357550710767,0.5890187426135582,0.5881535541428348,0.5922959892303556,0.5912328067259515,0.5866606084697252,0.5684202381609692,0.5887666107519588,0.5876581241956285,0.6136952722711938,0.6172377601851474,0.5897478171280548,0.574776351428203,0.5920469056354214,0.5991320410098839,0.5866994982357231,0.5882224840653753,0.5896540121956756,0.5724618904016043,0.6012036604021076,0.6107361130890784,0.5758824664091668,0.597985463581992,0.6267418824012255,0.6089448892680451,0.5948213421294599,0.6116948565562407,0.6088130564010149,0.6374167008165781,0.6149008048804899,0.5715115637465533,0.6246320438523023,0.6113718128507927,0.6215439162427602,0.6017086473030461,0.5973591031878895,0.614960766603784,0.620573084912689,0.6164048953453991,0.6158157445371873,0.623277650522112,0.6226611390356324,0.6130696238673506,0.6140941360473646,0.5962945814393518,0.6216552703515617,0.6113287418597076,0.6121844413846488,0.6291418484725361,0.6128714505959051,0.6148979876290849,0.6065642783486919,0.612899713159297,0.6125824601593293,0.6168090082205713,0.6014030215982403,0.6125480839902229,0.6299673340912314,0.6197931895403733,0.6276388316464214,0.6125760059237121,0.6110876204414494,0.6131324331097758,0.6131882248245606,0.5907347791700966,0.6234301663550171,0.6182972879300014,0.6131508455347828,0.6270940039148523,0.6186680699231925,0.6133747935839445,0.631588714969858,0.6116889813192804,0.6280853143907194,0.6301548546092395,0.6208010941580243,0.6386830939342978,0.637319099569559,0.632623584927175,0.6405705216829245,0.6414199898604213,0.6329345702093212,0.6325791706214572,0.630700955787226,0.6338904771084658,0.6278748060710235,0.6300965388817327,0.6300397076585672,0.6300933736692964,0.6284448714255448,0.6301129985970823,0.6297499694799544,0.6286394508541531,0.6278988002134519
global_recall,0.18344086021505376,0.4821505376344086,0.14688172043010753,0.16946236559139785,0.17763440860215055,0.25763440860215053,0.2845161290322581,0.4572043010752688,0.41053763440860214,0.4421505376344086,0.4455913978494624,0.5301075268817205,0.42494623655913977,0.5460215053763441,0.512258064516129,0.5163440860215054,0.5443010752688172,0.49870967741935485,0.5268817204301075,0.5296774193548387,0.550752688172043,0.5529032258064516,0.5604301075268817,0.5470967741935484,0.5516129032258065,0.5131182795698924,0.5518279569892474,0.5726881720430107,0.5823655913978495,0.5658064516129032,0.5608602150537635,0.563010752688172,0.5746236559139785,0.5673118279569892,0.5647311827956989,0.5802150537634408,0.5713978494623656,0.5797849462365592,0.5823655913978495,0.5866666666666667,0.5864516129032258,0.578494623655914,0.5864516129032258,0.5926881720430107,0.5941935483870968,0.5913978494623656,0.5976344086021506,0.5989247311827957,0.5995698924731183,0.5982795698924731,0.6098924731182795,0.5989247311827957,0.6019354838709677,0.593763440860215,0.607741935483871,0.6034408602150537,0.5961290322580645,0.604516129032258,0.5954838709677419,0.5989247311827957,0.5911827956989247,0.6023655913978495,0.6036559139784946,0.5817204301075268,0.5789247311827957,0.5851612903225807,0.5862365591397849,0.5651612903225807,0.5449462365591398,0.5640860215053763,0.5832258064516129,0.5716129032258065,0.5389247311827957,0.5756989247311828,0.5776344086021505,0.5703225806451613,0.5423655913978495,0.5724731182795699,0.5341935483870968,0.5544086021505377,0.5883870967741935,0.5683870967741935,0.5589247311827957,0.5731182795698925,0.561505376344086,0.5782795698924731,0.5531182795698925,0.5591397849462365,0.5578494623655914,0.552258064516129,0.563010752688172,0.5655913978494623,0.5703225806451613,0.5602150537634408,0.5632258064516129,0.5673118279569892,0.5156989247311828,0.5606451612903226,0.5808602150537634,0.5776344086021505,0.5834408602150538,0.5754838709677419,0.5754838709677419,0.5498924731182796,0.5503225806451613,0.5283870967741936,0.5683870967741935,0.5660215053763441,0.5602150537634408,0.5529032258064516,0.553763440860215,0.5348387096774193,0.5701075268817204,0.5081720430107527,0.5341935483870968,0.5795698924731183,0.5795698924731183,0.5849462365591398,0.5890322580645161,0.5967741935483871,0.5701075268817204,0.5855913978494623,0.5935483870967742,0.5724731182795699,0.5978494623655914,0.6008602150537634,0.5875268817204301,0.5926881720430107,0.6000000000000001,0.5991397849462365,0.6012903225806452,0.6101075268817204,0.6189247311827957,0.5954838709677419,0.6075268817204301,0.6012903225806452,0.6079569892473118,0.6012903225806452,0.6103225806451613,0.6176344086021506,0.6113978494623656,0.6275268817204301,0.6249462365591398,0.6240860215053764,0.6238709677419355,0.6225806451612903,0.6223655913978494,0.6240860215053764,0.6243010752688172,0.6238709677419355,0.6234408602150537
global_f1,0.05686900009574446,0.3136916730633616,0.06303769999441594,0.0979459701358826,0.10685713493385862,0.22814684009964328,0.2648958242620175,0.3964068400292638,0.3599149735350448,0.40759636131621896,0.4026788319763448,0.4597115304309551,0.3772594722559714,0.4807719998896979,0.42432895743384064,0.46237459054222735,0.4654414189320669,0.4373405683565699,0.4671139596505507,0.4699588644357383,0.477930565073799,0.4808455414815903,0.5083629526202296,0.4840462489041454,0.4951154930260148,0.4627051326197149,0.4893739713529668,0.5056593008967323,0.5210148153976898,0.507210613030637,0.49051845721711845,0.5110191924942381,0.5236374076139613,0.5107795271331952,0.5076217744698512,0.5315579915274955,0.5264799981389812,0.5286862527621015,0.5228463805162595,0.5437698524350036,0.5387771406831887,0.5306851055615971,0.5376528816672875,0.5382611323817247,0.5468663754867885,0.5398905680201012,0.5398023272005623,0.5414373016018377,0.5438967435508523,0.5615616385142337,0.5656810711732242,0.5509189766765866,0.5653485112588984,0.5413545769962211,0.5804204599423214,0.5676067578034744,0.5474361345961463,0.5705663025772088,0.5626122886579575,0.5624542578354751,0.5620175861544207,0.5712575796015739,0.5752719066356756,0.5407144703422933,0.542767562193895,0.5440768401114995,0.5712786959698379,0.5579369174620181,0.532295319276566,0.537608850406434,0.5500547075154978,0.5499751458904127,0.5353576424191486,0.5454555428678987,0.5432885254589761,0.5431348633611338,0.5297797426802229,0.5422666151681705,0.5174054806136963,0.5296345878563032,0.544096269974483,0.5326982533291594,0.5261774161887357,0.5365522203202648,0.5338425887785798,0.5475381023861239,0.5319618110858739,0.5416301399106792,0.5427433483354667,0.5252157850448639,0.5397987890619272,0.5424987793566972,0.5683734300160308,0.5421454222978477,0.5580194196859297,0.563875865583116,0.526220311186527,0.5596274151359802,0.5670085680079537,0.5403441817741255,0.5663185894611423,0.5521249371240963,0.5533402643972183,0.5502276285707351,0.5466385165313943,0.5331857223004892,0.5459922770714555,0.5554286715305042,0.5430485939410137,0.5363531080922554,0.5365483599207467,0.5326116826362831,0.5567988526436908,0.5143124565209782,0.5331214015840544,0.5617015387623191,0.5656591207870207,0.5746949976027538,0.5790076827907726,0.583019903517293,0.5711794721878872,0.5647724360719198,0.5689674086346735,0.5677441862472224,0.5937000465032274,0.589687814911769,0.5851031594430663,0.5814083497780479,0.594413521632825,0.5798933656249547,0.5962798844001315,0.5975855395814785,0.6063461214474184,0.5920120347408948,0.5978022173427978,0.5939995362818685,0.5931095497300846,0.5938118895328736,0.6054850882211062,0.5971957835729219,0.5982426345969117,0.6124678530198022,0.6142252194395347,0.613384767559341,0.6126525253594783,0.6118090837148478,0.6116784134637531,0.6135611222349736,0.6136823115571642,0.6132515039813512,0.6126383476638282
global_support_class_0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0
global_support_class_1,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0
global_support_class_2,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0
global_support_class_3,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
global_support_class_4,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0
