,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
global_accuracy,0.011182795698924731,0.18344086021505376,0.1449462365591398,0.1513978494623656,0.2086021505376344,0.20838709677419354,0.16602150537634408,0.1843010752688172,0.2967741935483871,0.45440860215053763,0.5058064516129033,0.37827956989247313,0.5337634408602151,0.47483870967741937,0.5150537634408602,0.432258064516129,0.43569892473118277,0.3361290322580645,0.2982795698924731,0.3608602150537634,0.48946236559139783,0.3967741935483871,0.2767741935483871,0.3911827956989247,0.5339784946236559,0.5210752688172043,0.4750537634408602,0.4,0.42,0.4754838709677419,0.41440860215053765,0.37806451612903225,0.281505376344086,0.45483870967741935,0.5068817204301075,0.4989247311827957,0.4972043010752688,0.43612903225806454,0.42752688172043013,0.4154838709677419,0.4518279569892473,0.44989247311827957,0.5098924731182796,0.5156989247311828,0.46365591397849465,0.4486021505376344,0.45548387096774196,0.4778494623655914,0.4045161290322581,0.4511827956989247,0.49053763440860215,0.5156989247311828,0.49634408602150537,0.4670967741935484,0.43849462365591396,0.4410752688172043,0.4832258064516129,0.4890322580645161,0.4156989247311828,0.541505376344086,0.5012903225806452,0.4944086021505376,0.47677419354838707,0.4234408602150538,0.3905376344086022,0.4210752688172043,0.4868817204301075,0.4836559139784946,0.4126881720430107,0.4012903225806452,0.3879569892473118,0.5032258064516129,0.4995698924731183,0.489247311827957,0.5086021505376344,0.4649462365591398,0.4774193548387097,0.4976344086021505,0.46559139784946235,0.4666666666666667,0.4533333333333333,0.45741935483870966,0.46623655913978496,0.47161290322580646,0.4509677419354839,0.4946236559139785,0.4675268817204301,0.4843010752688172,0.44150537634408604,0.43569892473118277,0.38064516129032255,0.49849462365591396,0.49870967741935485,0.5294623655913978,0.5023655913978494,0.5582795698924731,0.5232258064516129,0.513978494623656,0.4666666666666667,0.4673118279569892,0.49290322580645163,0.5238709677419355,0.48838709677419356,0.4486021505376344,0.44688172043010754,0.4774193548387097,0.5098924731182796,0.5251612903225806,0.5294623655913978,0.5356989247311827,0.4696774193548387,0.4572043010752688,0.4870967741935484,0.4997849462365591,0.5281720430107527,0.4731182795698925,0.39010752688172046,0.41161290322580646,0.48451612903225805,0.4378494623655914,0.5378494623655914,0.4920430107526882,0.4860215053763441,0.5397849462365591,0.492258064516129,0.4780645161290323,0.47634408602150535,0.5281720430107527,0.5458064516129032,0.5350537634408602,0.5408602150537635,0.5236559139784946,0.48236559139784946,0.48559139784946237,0.510752688172043,0.4509677419354839,0.4406451612903226,0.40408602150537637,0.5058064516129033,0.5449462365591398,0.5679569892473119,0.5098924731182796,0.38731182795698926,0.496989247311828,0.5049462365591398,0.5346236559139785,0.5376344086021505,0.4443010752688172,0.4591397849462366,0.5208602150537635,0.5290322580645161
global_loss,2.0786591441663975,1.9771885169695502,2.0852658911927104,1.843942696917547,1.7229632596447044,1.7378451162821626,1.9287860777280101,1.774145976321338,1.625320700749959,1.4187369885509962,1.3565320805327532,1.4673807253576305,1.3067160109951073,1.4148742389189053,1.3328479855027917,1.5452142276176035,1.454469674254117,1.5742497191037217,1.6997948101122085,1.4894185164203382,1.3886191375451544,1.5168905617439583,1.7234553294639066,1.52411190451008,1.3732376972289935,1.3420078876900345,1.4330758885161516,1.5123646643063793,1.484108176949906,1.383592235715422,1.4321086847618834,1.5613722948178852,1.6490834534984746,1.448760258824858,1.352892519676522,1.3825321581265697,1.3833012899307355,1.499430046506124,1.4985674529859465,1.5493210570452964,1.4890094603577706,1.445129288385992,1.4932009794124186,1.3219802530661022,1.48362642281676,1.5297087969845289,1.4760210587553781,1.4441404897872716,1.7292611125397355,1.4231797848662284,1.3668081801231593,1.3042112164301416,1.3912179429237157,1.3907185539807358,1.4722961293507928,1.5134857917485172,1.5495840711136386,1.6108720004558563,1.559125591630805,1.3078094602447667,1.3942000449520269,1.3445374867687487,1.5051550905998439,1.6041757464408875,1.6263832907154137,1.479205020486492,1.537468918382305,1.3867198290073708,1.5234817086833796,1.5762208234773922,1.5486022740194243,1.3816262601989588,1.4286312211866248,1.3937663738041708,1.3337856184129846,1.3566872391798726,1.356004978695961,1.46522095758621,1.5139379901428744,1.4809246994044682,1.453980267047882,1.441784331243332,1.718036952084058,1.5786613340247166,1.5121918361480922,1.3445212102099642,1.3559237171525824,1.3266951543827579,1.4183985084703523,1.459757730568925,1.5864144269734213,1.4686182757763013,1.5095832176404456,1.3842662042134428,1.3336393759675222,1.2096105569029507,1.3070120823709932,1.349169035072196,1.4816602648121038,1.4320093915887075,1.4091879578485882,1.3012539474931482,1.3500342409904689,1.4490329582397252,1.5020512260802805,1.3979434142374012,1.355558646460102,1.334876053953824,1.4017578579791605,1.3848224310842279,1.392574721003232,1.413010642953115,1.4054153386044175,1.3909313874701932,1.3581081498159122,1.4450298751870247,1.6426820681519705,1.6299128279294053,1.4863170352700639,1.528982359252564,1.3389639654388166,1.3666290922524178,1.3902205000184986,1.3301306366920471,1.4599387217057895,1.4979611765848446,1.4551947525102797,1.3888738494213313,1.3200854997928828,1.3639662551553282,1.3383175563322354,1.386520358797622,1.4250875356262678,1.42071932554245,1.3803349492484576,1.5313263110918542,1.4682414115291753,1.6911310839326414,1.4922617861669358,1.3517231573797253,1.238930195569992,1.3632067074514416,1.6373902763405892,1.4046476593572799,1.4379869625992971,1.3370821418827528,1.3117609893622464,1.595665695732587,1.6529263625406239,1.4695233408718893,1.4245141315950107
global_precision,0.00012505491964388948,0.033650549196438895,0.02100941149265811,0.15668011514267527,0.5697229119080857,0.4744175210548657,0.45462332666504035,0.07264717800991595,0.47161700478413865,0.46833681449398173,0.5085513267259255,0.41892400639514493,0.5136258665381438,0.42009813420981107,0.47842169601816065,0.4006230996659314,0.48952037720204034,0.5384502213611438,0.501363059602733,0.5018640440992661,0.5028709673745138,0.4957772349957823,0.5235431226121842,0.490447116739115,0.4573830241076597,0.4535116126303,0.4735407087695472,0.5233529198133628,0.48061099503099425,0.5126141444184373,0.48927807039187937,0.4884234865714188,0.4838708124680938,0.4866943400328179,0.520110301570042,0.5128659000171152,0.5146465848225872,0.5001869336502985,0.5195280516204247,0.4250588411304432,0.48045040569385766,0.5229224495484806,0.4871972546433614,0.48357451220415565,0.45947176606221984,0.5196541551626256,0.5211015259581022,0.4958867341069929,0.4747905904573266,0.48396890931317593,0.48713969068847485,0.5128161898812363,0.5192396033677475,0.5137489918320893,0.4848007370940232,0.48816788246325765,0.4913916055653214,0.4988116243781745,0.5244775074143938,0.49227958902038105,0.5174576259854822,0.5298281864890045,0.5236002546421503,0.5309866285435574,0.5214722372512909,0.48152863241442245,0.4833642033788439,0.5030875502031167,0.5384110871727776,0.5456028243170251,0.4595949104940877,0.4886429818475601,0.48351722971656197,0.5058079272158004,0.5338658187043438,0.5268846031780308,0.5310826786570945,0.5012923763796722,0.5005746521671097,0.5785160188712717,0.5264165903663923,0.48358339447377463,0.39078172075054984,0.4331481909110861,0.48074386416561027,0.550648028286081,0.5383704079683997,0.5238975689279392,0.5020979329763994,0.4573529750517074,0.4894453397495524,0.5041143695272774,0.49026213754840575,0.49125840749263466,0.5065825315935334,0.5211604828443819,0.5123962132676658,0.5177962007164439,0.5322217077585188,0.4971456526408382,0.4736947999786033,0.49285401217061303,0.5335828115263078,0.5381190336410729,0.5085235665731949,0.48612182251675085,0.5349481746799643,0.5240609527069043,0.5459409739369455,0.5339098849424873,0.5109710718056975,0.4776227890482984,0.4547763584727818,0.5215201119886875,0.5240280860402879,0.4968051127007667,0.46814172074868055,0.5083645637852477,0.5010451194599436,0.5183312472906679,0.5262949587035433,0.5225683965364252,0.5021715684917984,0.4970905320420583,0.5104907412156904,0.5040189243672324,0.5240851973044185,0.5231326418586515,0.5122845248270153,0.5145403987040906,0.507925991943113,0.5023324112444668,0.49338794498842126,0.5079778208577219,0.5173687164112274,0.4964891792845063,0.5021677211106818,0.46720490550099647,0.4561146044330951,0.5158937255164683,0.5471495641739212,0.5582996568483717,0.5230121310572773,0.5130669767187706,0.5065182409222467,0.5244793675796808,0.5139280700368455,0.4903417157650752,0.4514964138781483,0.4823189726092049,0.5331316689526073
global_recall,0.011182795698924731,0.18344086021505376,0.1449462365591398,0.1513978494623656,0.2086021505376344,0.20838709677419354,0.16602150537634408,0.1843010752688172,0.2967741935483871,0.45440860215053763,0.5058064516129033,0.37827956989247313,0.5337634408602151,0.47483870967741937,0.5150537634408602,0.432258064516129,0.43569892473118277,0.3361290322580645,0.2982795698924731,0.3608602150537634,0.48946236559139783,0.3967741935483871,0.2767741935483871,0.3911827956989247,0.5339784946236559,0.5210752688172043,0.4750537634408602,0.4,0.42,0.4754838709677419,0.41440860215053765,0.37806451612903225,0.281505376344086,0.45483870967741935,0.5068817204301075,0.4989247311827957,0.4972043010752688,0.43612903225806454,0.42752688172043013,0.4154838709677419,0.4518279569892473,0.44989247311827957,0.5098924731182796,0.5156989247311828,0.46365591397849465,0.4486021505376344,0.45548387096774196,0.4778494623655914,0.4045161290322581,0.4511827956989247,0.49053763440860215,0.5156989247311828,0.49634408602150537,0.4670967741935484,0.43849462365591396,0.4410752688172043,0.4832258064516129,0.4890322580645161,0.4156989247311828,0.541505376344086,0.5012903225806452,0.4944086021505376,0.47677419354838707,0.4234408602150538,0.3905376344086022,0.4210752688172043,0.4868817204301075,0.4836559139784946,0.4126881720430107,0.4012903225806452,0.3879569892473118,0.5032258064516129,0.4995698924731183,0.489247311827957,0.5086021505376344,0.4649462365591398,0.4774193548387097,0.4976344086021505,0.46559139784946235,0.4666666666666667,0.4533333333333333,0.45741935483870966,0.46623655913978496,0.47161290322580646,0.4509677419354839,0.4946236559139785,0.4675268817204301,0.4843010752688172,0.44150537634408604,0.43569892473118277,0.38064516129032255,0.49849462365591396,0.49870967741935485,0.5294623655913978,0.5023655913978494,0.5582795698924731,0.5232258064516129,0.513978494623656,0.4666666666666667,0.4673118279569892,0.49290322580645163,0.5238709677419355,0.48838709677419356,0.4486021505376344,0.44688172043010754,0.4774193548387097,0.5098924731182796,0.5251612903225806,0.5294623655913978,0.5356989247311827,0.4696774193548387,0.4572043010752688,0.4870967741935484,0.4997849462365591,0.5281720430107527,0.4731182795698925,0.39010752688172046,0.41161290322580646,0.48451612903225805,0.4378494623655914,0.5378494623655914,0.4920430107526882,0.4860215053763441,0.5397849462365591,0.492258064516129,0.4780645161290323,0.47634408602150535,0.5281720430107527,0.5458064516129032,0.5350537634408602,0.5408602150537635,0.5236559139784946,0.48236559139784946,0.48559139784946237,0.510752688172043,0.4509677419354839,0.4406451612903226,0.40408602150537637,0.5058064516129033,0.5449462365591398,0.5679569892473119,0.5098924731182796,0.38731182795698926,0.496989247311828,0.5049462365591398,0.5346236559139785,0.5376344086021505,0.4443010752688172,0.4591397849462366,0.5208602150537635,0.5290322580645161
global_f1,0.00024734384361722075,0.05686900009574446,0.03669938521444787,0.050674930341943876,0.11688094177100314,0.1458211510041081,0.07822492400538478,0.10070389020714852,0.31778398055718104,0.44490913102012486,0.4995792203732532,0.383415716781246,0.5134821095138065,0.4069134058182861,0.48162626149006876,0.39011242817841807,0.4460663624933427,0.35953538880421576,0.30956070829875826,0.3796643274676314,0.4745964480132832,0.4164153795758435,0.30457079115740826,0.40928384651184957,0.48323733344319214,0.466829991486719,0.455574463073492,0.4066501167759799,0.4329060641669043,0.46290856157056176,0.42661888065828046,0.3976300581059158,0.30873696100221737,0.4568349238801696,0.4937058416753848,0.4908400622396999,0.4858577752650786,0.4242255242877972,0.4312560508894806,0.39706438970285307,0.43858086670883184,0.4427981346025052,0.4672800863402609,0.4979073269682871,0.4550764718351815,0.4539952438107976,0.45907175720930843,0.4781944414538474,0.4141774066023488,0.4616642170893495,0.48249589446986796,0.5020226208067821,0.492581575327923,0.4588182069400117,0.4344667808296037,0.4410292883044479,0.4688618172035058,0.47984031996799015,0.4439006472276665,0.5081988053204166,0.4859431205851672,0.49317118991889375,0.4878090484454284,0.44701249936571646,0.4144096189251418,0.4358259799795966,0.48026207076946015,0.49007530552746603,0.4371956870528417,0.4092335351213962,0.40102855321051106,0.4883331872255263,0.48902383846639774,0.4914477514192561,0.5011048574845256,0.45726180743827016,0.4749647283969687,0.47863344715360373,0.46303370763869983,0.46097184302952904,0.45396304290821426,0.45096349288645415,0.41007610465836675,0.4323885700945616,0.461510530836854,0.4966654092701541,0.4665229037251107,0.4860409700938284,0.44765520087590804,0.4341541087464712,0.4108179501802137,0.4944094395449298,0.49119649321608505,0.5023519901379345,0.4815668159396739,0.5203738995367607,0.5085533859306482,0.511416036771289,0.47589885830214235,0.4688734350535077,0.4690500101959862,0.4978104818196481,0.5011595355249231,0.4660776687856295,0.453066120550095,0.46898136942805113,0.4911851870834025,0.5178489279344327,0.5257553679592221,0.5242042405439825,0.46074797385371813,0.4512184901236517,0.4643939764598842,0.5045446317551847,0.5249231849813819,0.47126004606762256,0.37592508861272766,0.40333951005626795,0.48549534704468017,0.45759160576874713,0.5209322949714957,0.48780503942412623,0.47338529678192376,0.510507217156112,0.4832462480601836,0.48365559121442936,0.4846578699775811,0.5166808346432239,0.5205177526815018,0.5161318211564767,0.5135889942300282,0.5095406794470435,0.4829235399779261,0.4859886441349672,0.5041405166721671,0.4504284953702384,0.44522619545551334,0.40637026889452416,0.46940853873086025,0.5261529371376958,0.5496539305389038,0.506493409175173,0.3812663586385873,0.4946571421210144,0.5015410287069796,0.5260357987480514,0.5219392946324256,0.44212913426161154,0.44616281710526373,0.49431608007641503,0.5119704836109281
global_support_class_0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0,853.0
global_support_class_1,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0
global_support_class_2,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0,674.0
global_support_class_3,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
global_support_class_4,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0,476.0
